epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10146.5,0.86909,0.77453,1.39333,0.93905,0.90945,0.95687,0.77566,0.6522,0.61304,1.16303,0.000742625,0.000742625,0.000742625
43,10387.4,0.8504,0.77679,1.35346,0.91822,0.90466,0.94968,0.76784,0.62582,0.59766,1.14369,0.00073025,0.00073025,0.00073025
44,10629.3,0.87597,0.75902,1.3741,0.84663,0.94975,0.95524,0.77341,0.61096,0.57817,1.11131,0.000717875,0.000717875,0.000717875
45,10871.1,0.85327,0.77512,1.37984,0.88819,0.93274,0.94913,0.75279,0.61115,0.58615,1.11854,0.0007055,0.0007055,0.0007055
46,11112.5,0.85836,0.7456,1.37094,0.90823,0.94512,0.95911,0.78907,0.59819,0.55669,1.11066,0.000693125,0.000693125,0.000693125
47,11353.3,0.84415,0.73195,1.33495,0.93897,0.91511,0.94571,0.77717,0.58354,0.54461,1.1065,0.00068075,0.00068075,0.00068075
48,11595.5,0.82413,0.73223,1.33623,0.96775,0.89536,0.9651,0.79962,0.57017,0.52989,1.07915,0.000668375,0.000668375,0.000668375
49,11837.8,0.81011,0.68512,1.33546,0.92937,0.94346,0.97371,0.80395,0.56592,0.54363,1.07333,0.000656,0.000656,0.000656
50,12079.1,0.80936,0.69496,1.31716,0.95266,0.90131,0.95674,0.80873,0.56094,0.52866,1.07774,0.000643625,0.000643625,0.000643625
51,12325.2,0.83282,0.68983,1.32441,0.92995,0.96139,0.97038,0.80811,0.5791,0.51835,1.09566,0.00063125,0.00063125,0.00063125
52,12566.1,0.77842,0.6384,1.29381,0.95647,0.90365,0.95987,0.79061,0.5845,0.53502,1.09508,0.000618875,0.000618875,0.000618875
53,12807.4,0.81058,0.65889,1.30116,0.86964,0.9504,0.96295,0.80637,0.60329,0.55658,1.09372,0.0006065,0.0006065,0.0006065
54,13048.3,0.79542,0.6721,1.30936,0.90367,0.9493,0.97303,0.81895,0.54645,0.48983,1.0684,0.000594125,0.000594125,0.000594125
55,13290,0.78428,0.65694,1.30254,0.94034,0.94702,0.97532,0.83912,0.50205,0.46491,1.03408,0.00058175,0.00058175,0.00058175
56,13530.7,0.73229,0.62174,1.25692,0.93467,0.94523,0.9738,0.83059,0.51915,0.46028,1.03664,0.000569375,0.000569375,0.000569375
57,13772.2,0.75952,0.60221,1.26609,0.96329,0.95313,0.98059,0.82982,0.54465,0.46407,1.04032,0.000557,0.000557,0.000557
58,14014.5,0.76229,0.61546,1.27548,0.94182,0.93913,0.97457,0.83082,0.50299,0.46322,1.02177,0.000544625,0.000544625,0.000544625
59,14256.2,0.75289,0.60912,1.27156,0.96413,0.96183,0.98415,0.85469,0.48236,0.44325,1.02506,0.00053225,0.00053225,0.00053225
60,14497.3,0.73818,0.62211,1.25719,0.90248,0.94447,0.97161,0.83517,0.51268,0.45208,1.02553,0.000519875,0.000519875,0.000519875
61,14738.9,0.75519,0.61975,1.27673,0.94154,0.9771,0.97793,0.83454,0.53021,0.44532,1.03969,0.0005075,0.0005075,0.0005075
62,14980.6,0.78232,0.64046,1.27922,0.94796,0.9663,0.97639,0.83421,0.50348,0.44079,1.01364,0.000495125,0.000495125,0.000495125
63,15222.6,0.75863,0.6158,1.2561,0.92491,0.9815,0.98142,0.83392,0.51313,0.44548,1.01947,0.00048275,0.00048275,0.00048275
64,15463.3,0.72497,0.56593,1.23618,0.92919,0.97905,0.98289,0.85437,0.48642,0.42038,0.99483,0.000470375,0.000470375,0.000470375
65,15705.1,0.71557,0.58157,1.2343,0.92624,0.97599,0.98055,0.84971,0.48411,0.4384,1.00321,0.000458,0.000458,0.000458
66,15950.2,0.69448,0.56567,1.19948,0.9406,0.98168,0.98432,0.86502,0.45529,0.39632,0.97466,0.000445625,0.000445625,0.000445625
67,16192,0.70266,0.56385,1.2074,0.95433,0.94032,0.98013,0.84738,0.49401,0.41158,1.00114,0.00043325,0.00043325,0.00043325
68,16432.9,0.70851,0.56963,1.2338,0.91752,0.98778,0.98137,0.86529,0.45533,0.41698,0.97854,0.000420875,0.000420875,0.000420875
69,16674.1,0.71294,0.57348,1.2299,0.96749,0.94309,0.98236,0.86937,0.46514,0.39418,0.99019,0.0004085,0.0004085,0.0004085
70,16915.9,0.67288,0.55038,1.20471,0.95098,0.95694,0.98146,0.85798,0.43224,0.38609,0.97638,0.000396125,0.000396125,0.000396125
71,17156.4,0.67863,0.53404,1.1996,0.93296,0.96899,0.98325,0.86253,0.45113,0.39471,0.97942,0.00038375,0.00038375,0.00038375
72,17397.9,0.70002,0.54648,1.22494,0.98001,0.94996,0.98533,0.86313,0.50701,0.39894,0.99941,0.000371375,0.000371375,0.000371375
73,17641.4,0.6833,0.56107,1.21273,0.95055,0.96656,0.98698,0.87211,0.46572,0.38842,0.97668,0.000359,0.000359,0.000359
74,17882.9,0.67954,0.56462,1.21843,0.95024,0.97004,0.98378,0.87254,0.48209,0.3877,0.98227,0.000346625,0.000346625,0.000346625
75,18124.3,0.70145,0.54941,1.22103,0.94621,0.96657,0.98498,0.87308,0.45244,0.38821,0.97107,0.00033425,0.00033425,0.00033425
76,18365.7,0.69152,0.53966,1.2168,0.93665,0.99324,0.98645,0.87029,0.4435,0.363,0.97064,0.000321875,0.000321875,0.000321875
77,18606.9,0.65539,0.52072,1.19205,0.95795,0.95501,0.98659,0.86955,0.42623,0.36562,0.95668,0.0003095,0.0003095,0.0003095
78,18848.5,0.67205,0.53587,1.18871,0.95775,0.97876,0.98479,0.87108,0.43206,0.36721,0.96585,0.000297125,0.000297125,0.000297125
79,19091.7,0.67253,0.51549,1.21437,0.95061,0.98232,0.98675,0.89334,0.40365,0.34411,0.94806,0.00028475,0.00028475,0.00028475
80,19333.9,0.66571,0.50466,1.2012,0.94951,0.97912,0.98657,0.88111,0.42233,0.35921,0.95603,0.000272375,0.000272375,0.000272375
81,19577,0.66969,0.52783,1.19504,0.94355,0.98079,0.9869,0.89,0.40898,0.35959,0.95009,0.00026,0.00026,0.00026
82,19821,0.6544,0.51683,1.17492,0.96328,0.99324,0.98934,0.89182,0.40685,0.34426,0.95393,0.000247625,0.000247625,0.000247625
83,20065.4,0.65263,0.50523,1.16676,0.95965,0.98672,0.988,0.89281,0.40878,0.34244,0.94946,0.00023525,0.00023525,0.00023525
84,20307.5,0.66353,0.51769,1.18427,0.96821,0.99232,0.98875,0.9031,0.39287,0.34283,0.93813,0.000222875,0.000222875,0.000222875
85,20549.6,0.64626,0.50808,1.17049,0.96885,0.98835,0.98917,0.89971,0.38635,0.3368,0.93101,0.0002105,0.0002105,0.0002105
86,20791.9,0.60884,0.48351,1.14682,0.96618,0.99073,0.98869,0.89759,0.40953,0.32924,0.93752,0.000198125,0.000198125,0.000198125
87,21034.1,0.64585,0.49326,1.16783,0.96897,0.981,0.98994,0.89787,0.39555,0.33499,0.93832,0.00018575,0.00018575,0.00018575
88,21276.9,0.65772,0.49722,1.18487,0.97427,0.97806,0.99002,0.89222,0.40583,0.33243,0.93796,0.000173375,0.000173375,0.000173375
89,21521.3,0.62891,0.49465,1.15292,0.98226,0.98498,0.98871,0.89292,0.38619,0.33324,0.93159,0.000161,0.000161,0.000161
90,21766.9,0.62863,0.48816,1.15588,0.97315,0.97973,0.99017,0.90124,0.38523,0.32833,0.9298,0.000148625,0.000148625,0.000148625
91,22010.9,0.49115,0.42322,1.01395,0.95246,0.99319,0.98871,0.90051,0.38547,0.34193,0.928,0.00013625,0.00013625,0.00013625
92,22251.4,0.46186,0.39637,0.99369,0.96507,0.98683,0.98898,0.89819,0.38426,0.32547,0.92036,0.000123875,0.000123875,0.000123875
93,22492.1,0.46923,0.39424,0.99588,0.97358,0.98674,0.98963,0.9069,0.38142,0.32331,0.92067,0.0001115,0.0001115,0.0001115
94,22733.7,0.47131,0.42545,0.99332,0.97607,0.98042,0.99113,0.91135,0.37632,0.31904,0.918,9.9125e-05,9.9125e-05,9.9125e-05
95,22976.1,0.44799,0.36103,0.99321,0.97991,0.98571,0.99136,0.90901,0.37806,0.31344,0.91715,8.675e-05,8.675e-05,8.675e-05
96,23216.2,0.45871,0.3622,0.98691,0.98047,0.98683,0.99086,0.91004,0.37338,0.30793,0.91284,7.4375e-05,7.4375e-05,7.4375e-05
97,23456.3,0.46435,0.39264,0.99489,0.98058,0.99208,0.9914,0.91408,0.3705,0.30952,0.90737,6.2e-05,6.2e-05,6.2e-05
98,23696.9,0.43714,0.35433,0.97357,0.97754,0.99324,0.99211,0.91729,0.36096,0.30733,0.90801,4.9625e-05,4.9625e-05,4.9625e-05
99,23938.4,0.43741,0.35128,0.96526,0.97667,0.99324,0.99153,0.92143,0.35712,0.30424,0.90482,3.725e-05,3.725e-05,3.725e-05
100,24179.1,0.43916,0.35894,0.98853,0.97739,0.99324,0.9914,0.91853,0.35352,0.3006,0.90686,2.4875e-05,2.4875e-05,2.4875e-05
