epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,697.091,0.7558,3.35431,1.10718,0.65856,0.15426,0.51807,0.45955,0.4803,3.44663,0.89508,0.0002345,0.0002345,0.0002345
2,1386.41,0.66289,1.90412,1.03398,0.81276,0.78979,0.84192,0.74925,0.49428,1.91462,0.90592,0.000467822,0.000467822,0.000467822
3,2057.35,0.68075,1.40263,1.0252,0.82564,0.76193,0.8542,0.71962,0.62636,1.79968,1.10805,0.000696432,0.000696432,0.000696432
4,2752.1,0.63898,1.14521,1.00088,0.90239,0.89116,0.95353,0.82983,0.52548,1.43889,0.9401,0.000692794,0.000692794,0.000692794
5,3443.72,0.62178,1.08865,0.99563,0.91466,0.9297,0.97688,0.86992,0.46582,1.22943,0.89097,0.000685726,0.000685726,0.000685726
6,4123.86,0.59494,0.93625,0.9743,0.9036,0.94333,0.9375,0.82478,0.50298,1.14055,0.8917,0.000678657,0.000678657,0.000678657
7,4800.04,0.59453,0.86291,0.96356,0.92869,0.96846,0.98199,0.87983,0.44887,0.97661,0.86904,0.000671588,0.000671588,0.000671588
8,5472.44,0.5605,0.7997,0.95678,0.91349,0.91117,0.98336,0.86474,0.50035,1.03902,0.90644,0.00066452,0.00066452,0.00066452
9,6147.79,0.57238,0.74351,0.95613,0.94851,0.98115,0.9824,0.88682,0.44541,0.75441,0.8733,0.000657451,0.000657451,0.000657451
10,6818.59,0.58735,0.72453,0.96739,0.96121,0.98226,0.98821,0.90035,0.42295,0.6896,0.85862,0.000650383,0.000650383,0.000650383
11,7498.74,0.56273,0.70229,0.95279,0.92279,0.87562,0.90302,0.82145,0.42745,0.87973,0.85782,0.000643314,0.000643314,0.000643314
12,8196.89,0.55708,0.65358,0.95743,0.92004,0.95821,0.96427,0.88413,0.38904,0.66303,0.83521,0.000636245,0.000636245,0.000636245
13,8884.62,0.53457,0.59673,0.94283,0.97753,0.97962,0.9908,0.91088,0.39955,0.56383,0.83082,0.000629177,0.000629177,0.000629177
14,9567.65,0.53466,0.5782,0.94409,0.94833,0.96176,0.98205,0.89784,0.39972,0.6054,0.83837,0.000622108,0.000622108,0.000622108
15,10238.1,0.54185,0.56322,0.95095,0.97021,0.99021,0.99097,0.91585,0.3809,0.48621,0.83338,0.00061504,0.00061504,0.00061504
16,10907.9,0.52514,0.55533,0.93902,0.95937,0.95951,0.98807,0.89473,0.42494,0.52837,0.85045,0.000607971,0.000607971,0.000607971
17,11578.5,0.52019,0.52692,0.93951,0.97716,0.98635,0.99064,0.92096,0.38056,0.43394,0.82941,0.000600902,0.000600902,0.000600902
18,12255.9,0.50381,0.49551,0.92704,0.98269,0.97045,0.98906,0.90767,0.41701,0.44998,0.84325,0.000593834,0.000593834,0.000593834
19,12932.2,0.5142,0.48451,0.93389,0.97115,0.9725,0.9843,0.89334,0.43508,0.45467,0.85194,0.000586765,0.000586765,0.000586765
20,13609.3,0.49438,0.47791,0.93183,0.97383,0.97773,0.98804,0.91728,0.37139,0.41613,0.82578,0.000579697,0.000579697,0.000579697
21,14280.2,0.51058,0.47349,0.93134,0.97233,0.98771,0.99182,0.92301,0.36861,0.38698,0.8234,0.000572628,0.000572628,0.000572628
22,14957.8,0.4911,0.45339,0.93039,0.96907,0.98897,0.98349,0.9105,0.36757,0.37547,0.82446,0.000565559,0.000565559,0.000565559
