epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,753.541,0.73317,3.33474,1.09892,0.87491,0.14025,0.54845,0.49217,0.46167,3.36015,0.8947,0.000219329,0.000219329,0.000219329
2,1505.52,0.65678,1.90538,1.04228,0.8354,0.77088,0.84965,0.76081,0.49276,1.83222,0.90797,0.00043729,0.00043729,0.00043729
3,2242.67,0.64931,1.37504,1.01386,0.74628,0.86814,0.91512,0.80341,0.50501,1.876,0.9226,0.000650848,0.000650848,0.000650848
4,2982.71,0.62556,1.18455,1.00609,0.93706,0.92811,0.96824,0.86142,0.48359,1.33665,0.9069,0.00064719,0.00064719,0.00064719
5,3724.46,0.62996,1.0799,0.99682,0.95581,0.97073,0.98066,0.87355,0.47652,1.1099,0.88339,0.000640587,0.000640587,0.000640587
6,4463.14,0.59978,0.94905,0.97969,0.92626,0.90119,0.97128,0.86892,0.47581,1.15134,0.88475,0.000633983,0.000633983,0.000633983
7,5200.88,0.60023,0.89812,0.97998,0.95966,0.95574,0.97778,0.86791,0.4828,0.96123,0.88931,0.00062738,0.00062738,0.00062738
8,5934.64,0.58211,0.84193,0.97181,0.95026,0.9664,0.97931,0.89664,0.41254,0.79963,0.84482,0.000620777,0.000620777,0.000620777
9,6667.94,0.57421,0.75046,0.96223,0.96741,0.94435,0.98248,0.89706,0.40884,0.7282,0.84677,0.000614174,0.000614174,0.000614174
10,7402.3,0.58064,0.70452,0.9725,0.95474,0.95006,0.97907,0.88104,0.4418,0.75751,0.85729,0.00060757,0.00060757,0.00060757
11,8135.36,0.55426,0.68678,0.95639,0.9811,0.96632,0.98257,0.8807,0.47866,0.64357,0.88026,0.000600967,0.000600967,0.000600967
12,8870.92,0.54429,0.63391,0.95311,0.96583,0.97652,0.98868,0.90882,0.40459,0.57808,0.84065,0.000594364,0.000594364,0.000594364
13,9602.76,0.54925,0.60051,0.95894,0.97411,0.98497,0.98832,0.90186,0.40891,0.56269,0.83948,0.00058776,0.00058776,0.00058776
14,10335.5,0.52378,0.56627,0.9442,0.98344,0.98322,0.99039,0.91599,0.38563,0.51333,0.82535,0.000581157,0.000581157,0.000581157
15,11076.5,0.5251,0.56703,0.94607,0.98268,0.97538,0.98655,0.9091,0.40377,0.49858,0.84144,0.000574554,0.000574554,0.000574554
16,11810.3,0.52008,0.52438,0.94596,0.97751,0.97856,0.98667,0.90752,0.40434,0.48193,0.8388,0.00056795,0.00056795,0.00056795
17,12545.1,0.51277,0.52236,0.94194,0.96041,0.98797,0.9907,0.90693,0.39632,0.45584,0.83498,0.000561347,0.000561347,0.000561347
18,13279,0.50067,0.49449,0.93079,0.97978,0.98726,0.99138,0.92645,0.36696,0.41431,0.82135,0.000554744,0.000554744,0.000554744
19,14012.7,0.52172,0.48695,0.94293,0.9764,0.99398,0.98957,0.91889,0.38178,0.41056,0.82114,0.000548141,0.000548141,0.000548141
20,14752.4,0.49643,0.46599,0.93784,0.98874,0.97981,0.99277,0.91978,0.37369,0.38718,0.82506,0.000541537,0.000541537,0.000541537
21,15487.2,0.4905,0.46205,0.92597,0.98609,0.97818,0.98853,0.92477,0.35591,0.3777,0.81471,0.000534934,0.000534934,0.000534934
22,16224.9,0.49261,0.44145,0.93531,0.9836,0.9813,0.98741,0.91507,0.39248,0.38916,0.82352,0.000528331,0.000528331,0.000528331
23,16970.1,0.50904,0.45257,0.94168,0.9883,0.98951,0.99195,0.93019,0.36305,0.35852,0.81889,0.000521727,0.000521727,0.000521727
24,17701.4,0.48528,0.42113,0.92837,0.98934,0.99841,0.99405,0.92948,0.35784,0.33769,0.81481,0.000515124,0.000515124,0.000515124
25,18441.1,0.4868,0.42019,0.93216,0.98683,0.99016,0.99298,0.93691,0.34285,0.32908,0.80754,0.000508521,0.000508521,0.000508521
26,19187.7,0.48756,0.42327,0.9334,0.9869,0.9885,0.99195,0.93097,0.35102,0.33474,0.8151,0.000501917,0.000501917,0.000501917
27,19937.9,0.49533,0.41685,0.93248,0.98325,0.98819,0.99286,0.93494,0.34617,0.31484,0.81242,0.000495314,0.000495314,0.000495314
28,20682.3,0.48187,0.40093,0.92911,0.97971,0.99478,0.99252,0.93321,0.34519,0.31221,0.8104,0.000488711,0.000488711,0.000488711
29,21421.9,0.48442,0.39064,0.92478,0.99267,0.98989,0.99311,0.93629,0.34633,0.29642,0.81514,0.000482108,0.000482108,0.000482108
30,22164.3,0.45865,0.37797,0.91554,0.98683,0.99695,0.99306,0.93724,0.33854,0.29322,0.80532,0.000475504,0.000475504,0.000475504
31,22906.9,0.46847,0.37424,0.92269,0.98713,0.98919,0.9936,0.9353,0.33436,0.29537,0.80432,0.000468901,0.000468901,0.000468901
32,23647.6,0.45763,0.36687,0.91829,0.9855,0.9961,0.99391,0.94042,0.33003,0.28613,0.80165,0.000462298,0.000462298,0.000462298
33,24386.3,0.47008,0.37602,0.9181,0.98791,0.99364,0.99386,0.93265,0.35555,0.27706,0.81301,0.000455694,0.000455694,0.000455694
34,25128.9,0.45457,0.36223,0.9152,0.9869,0.99709,0.99409,0.94659,0.3186,0.25978,0.79793,0.000449091,0.000449091,0.000449091
35,25870.4,0.44604,0.36777,0.91444,0.98749,0.99562,0.99322,0.93926,0.34173,0.28123,0.80454,0.000442488,0.000442488,0.000442488
36,26611.9,0.46575,0.35813,0.92241,0.9911,0.99903,0.99363,0.9394,0.33433,0.26568,0.806,0.000435884,0.000435884,0.000435884
37,27349.8,0.4474,0.35031,0.91284,0.9913,0.99689,0.99446,0.948,0.3183,0.25197,0.79983,0.000429281,0.000429281,0.000429281
38,28087.9,0.45595,0.34192,0.91594,0.98245,0.99579,0.99353,0.94013,0.34221,0.26442,0.80585,0.000422678,0.000422678,0.000422678
39,28830.5,0.46411,0.33948,0.92132,0.98657,0.99304,0.99416,0.94907,0.31587,0.25029,0.79745,0.000416075,0.000416075,0.000416075
40,29568,0.43829,0.33214,0.90574,0.99121,0.99458,0.9936,0.94256,0.33571,0.25003,0.7991,0.000409471,0.000409471,0.000409471
41,30305.2,0.455,0.33702,0.91792,0.99257,0.99578,0.99432,0.94668,0.3155,0.24323,0.79662,0.000402868,0.000402868,0.000402868
42,31041.7,0.44742,0.33227,0.91729,0.9888,0.99718,0.99264,0.95107,0.3038,0.23622,0.79392,0.000396265,0.000396265,0.000396265
43,31776.4,0.43656,0.33098,0.90394,0.99182,0.99718,0.99264,0.95167,0.3049,0.2351,0.79208,0.000389661,0.000389661,0.000389661
44,32514.7,0.43992,0.32283,0.91274,0.98466,0.99738,0.99337,0.94975,0.30722,0.23166,0.79247,0.000383058,0.000383058,0.000383058
45,33252.2,0.43829,0.32654,0.90628,0.99185,0.99928,0.99368,0.9479,0.3118,0.23288,0.79379,0.000376455,0.000376455,0.000376455
46,33989.3,0.42851,0.31918,0.90942,0.98544,0.99153,0.99202,0.95455,0.29689,0.22613,0.79187,0.000369851,0.000369851,0.000369851
47,34725.4,0.43494,0.30816,0.91512,0.99211,0.99535,0.9934,0.95485,0.30531,0.222,0.79169,0.000363248,0.000363248,0.000363248
48,35459.8,0.42749,0.31038,0.90526,0.9917,0.99651,0.99266,0.95137,0.30377,0.22574,0.78975,0.000356645,0.000356645,0.000356645
49,36197.4,0.41477,0.29679,0.89765,0.98711,0.99898,0.99303,0.956,0.29917,0.21847,0.79086,0.000350042,0.000350042,0.000350042
50,36937.8,0.41649,0.30922,0.90794,0.98243,0.99338,0.99338,0.95642,0.30029,0.22755,0.79132,0.000343438,0.000343438,0.000343438
51,37673.9,0.40788,0.30029,0.90178,0.99484,1,0.99435,0.95946,0.28544,0.21049,0.78588,0.000336835,0.000336835,0.000336835
52,38409.6,0.40542,0.30205,0.89603,0.99006,0.99793,0.99422,0.95677,0.29189,0.20945,0.78876,0.000330232,0.000330232,0.000330232
53,39144.8,0.41399,0.30251,0.90572,0.99104,0.99142,0.99431,0.95168,0.3031,0.21821,0.79324,0.000323628,0.000323628,0.000323628
54,39882,0.41315,0.29414,0.90109,0.98985,0.9975,0.9936,0.95803,0.29913,0.21259,0.79176,0.000317025,0.000317025,0.000317025
55,40620.5,0.4062,0.28911,0.90135,0.98931,1,0.9945,0.95227,0.30445,0.21417,0.79108,0.000310422,0.000310422,0.000310422
56,41357,0.40557,0.29114,0.89593,0.99189,0.99891,0.99422,0.95367,0.29846,0.2113,0.787,0.000303818,0.000303818,0.000303818
57,42092,0.40748,0.28391,0.89594,0.98941,0.9992,0.99424,0.96033,0.29075,0.20662,0.78547,0.000297215,0.000297215,0.000297215
58,42829.5,0.4052,0.28935,0.90493,0.99331,0.99763,0.99429,0.96079,0.28687,0.20776,0.78549,0.000290612,0.000290612,0.000290612
59,43570.5,0.40704,0.29224,0.89908,0.99286,0.99928,0.99409,0.96234,0.28599,0.20427,0.78343,0.000284009,0.000284009,0.000284009
60,44310.1,0.39339,0.28091,0.89825,0.99162,0.99754,0.99452,0.95991,0.27882,0.20133,0.78216,0.000277405,0.000277405,0.000277405
