epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,25425.2,0.45573,0.35437,0.91378,0.98463,0.99885,0.99229,0.93967,0.33565,0.24632,0.80375,0.000456863,0.000456863,0.000456863
43,26029.5,0.45376,0.35185,0.91951,0.98911,0.9974,0.99401,0.94395,0.32397,0.23751,0.79691,0.00044925,0.00044925,0.00044925
44,26633.1,0.44853,0.33932,0.91334,0.9756,0.98686,0.99244,0.93777,0.33488,0.26408,0.79993,0.000441637,0.000441637,0.000441637
45,27236.5,0.45121,0.32887,0.90856,0.99334,0.99451,0.99192,0.94525,0.31985,0.24006,0.79602,0.000434024,0.000434024,0.000434024
46,27840.5,0.45588,0.32381,0.92286,0.99036,0.99691,0.99294,0.94554,0.32149,0.24296,0.80096,0.000426411,0.000426411,0.000426411
47,28444.2,0.43319,0.32176,0.90805,0.98588,0.99821,0.99241,0.94172,0.33318,0.24439,0.8059,0.000418797,0.000418797,0.000418797
48,29048.6,0.4386,0.32681,0.91757,0.99173,0.99176,0.99385,0.93485,0.35042,0.24109,0.80745,0.000411184,0.000411184,0.000411184
49,29653.6,0.44339,0.31928,0.91834,0.99145,0.99601,0.99237,0.94378,0.32988,0.23796,0.80853,0.000403571,0.000403571,0.000403571
50,30255.8,0.43951,0.32043,0.91026,0.99106,0.99692,0.99369,0.94706,0.33011,0.23037,0.80269,0.000395958,0.000395958,0.000395958
51,30860.7,0.43537,0.31324,0.91248,0.99179,0.99986,0.99391,0.95032,0.31268,0.21925,0.80064,0.000388345,0.000388345,0.000388345
52,31463.5,0.43422,0.30761,0.9162,0.99064,0.99642,0.99347,0.94914,0.31842,0.22602,0.80001,0.000380732,0.000380732,0.000380732
53,32066.3,0.42196,0.29971,0.90705,0.99014,0.99879,0.99407,0.9492,0.31415,0.22315,0.80053,0.000373119,0.000373119,0.000373119
54,32669.6,0.43152,0.30721,0.912,0.9898,0.99349,0.99181,0.94743,0.31369,0.22192,0.79605,0.000365506,0.000365506,0.000365506
55,33273.6,0.4364,0.30479,0.9126,0.99113,0.99672,0.99262,0.94618,0.31214,0.21428,0.79438,0.000357893,0.000357893,0.000357893
56,33876,0.42892,0.29743,0.90291,0.9924,0.99854,0.99313,0.9513,0.3042,0.21211,0.78868,0.00035028,0.00035028,0.00035028
57,34478.8,0.4183,0.28669,0.90815,0.99229,0.99961,0.99426,0.95462,0.30247,0.21098,0.79156,0.000342666,0.000342666,0.000342666
58,35081.8,0.40694,0.29276,0.8978,0.99207,0.99985,0.99239,0.95544,0.29314,0.20325,0.79119,0.000335053,0.000335053,0.000335053
59,35685.4,0.41635,0.2843,0.90617,0.99392,0.99923,0.99341,0.95669,0.29608,0.20846,0.78901,0.00032744,0.00032744,0.00032744
60,36287.6,0.41711,0.28159,0.90262,0.99271,0.99903,0.99423,0.95845,0.29926,0.20416,0.78772,0.000319827,0.000319827,0.000319827
61,36894.7,0.41181,0.28458,0.90334,0.99382,0.99612,0.99344,0.95535,0.30132,0.20407,0.78803,0.000312214,0.000312214,0.000312214
62,37498.3,0.41337,0.28853,0.89545,0.99177,0.99993,0.99391,0.96001,0.29408,0.20068,0.78487,0.000304601,0.000304601,0.000304601
63,38101.9,0.41062,0.2934,0.90201,0.99007,0.99891,0.99343,0.95868,0.28939,0.2007,0.78268,0.000296988,0.000296988,0.000296988
64,38705.4,0.40383,0.27872,0.89658,0.99124,1,0.99241,0.95496,0.28995,0.20433,0.78551,0.000289375,0.000289375,0.000289375
65,39308,0.40346,0.28315,0.89755,0.99099,1,0.99372,0.95683,0.29825,0.20283,0.79127,0.000281762,0.000281762,0.000281762
66,39911.3,0.39833,0.27798,0.89701,0.99392,1,0.99407,0.95682,0.29308,0.20111,0.78927,0.000274148,0.000274148,0.000274148
67,40515,0.40692,0.28275,0.90095,0.98957,0.99996,0.99456,0.95968,0.29478,0.20918,0.79134,0.000266535,0.000266535,0.000266535
68,41117.2,0.39874,0.27672,0.8901,0.99219,0.99992,0.99467,0.96232,0.28542,0.19842,0.78425,0.000258922,0.000258922,0.000258922
69,41721.5,0.39342,0.278,0.89609,0.99395,0.99976,0.99398,0.96657,0.27725,0.18902,0.78437,0.000251309,0.000251309,0.000251309
70,42326.9,0.39217,0.27411,0.89505,0.99019,1,0.99392,0.96181,0.29453,0.19635,0.78621,0.000243696,0.000243696,0.000243696
71,42930.1,0.38843,0.2661,0.88976,0.99375,0.99443,0.99389,0.96526,0.28222,0.19191,0.78243,0.000236083,0.000236083,0.000236083
72,43531.9,0.38253,0.26027,0.89226,0.98998,1,0.99441,0.9656,0.27849,0.19071,0.78037,0.00022847,0.00022847,0.00022847
73,44136.2,0.38789,0.2721,0.8917,0.993,0.99455,0.99473,0.96385,0.28038,0.18612,0.78224,0.000220857,0.000220857,0.000220857
74,44737.4,0.38911,0.26566,0.89283,0.99146,0.99956,0.99412,0.96425,0.2786,0.18696,0.78207,0.000213244,0.000213244,0.000213244
75,45340.3,0.38929,0.26204,0.89436,0.99404,1,0.99456,0.96683,0.27353,0.18508,0.78036,0.000205631,0.000205631,0.000205631
76,45946,0.38218,0.26083,0.8934,0.99443,0.99739,0.99426,0.96678,0.27245,0.1806,0.77704,0.000198018,0.000198018,0.000198018
77,46548.4,0.3806,0.26219,0.89604,0.99353,0.99933,0.99455,0.9672,0.27135,0.18298,0.77848,0.000190404,0.000190404,0.000190404
78,47150,0.37767,0.26223,0.89108,0.99311,0.9995,0.99413,0.96953,0.26827,0.1795,0.77824,0.000182791,0.000182791,0.000182791
79,47754.5,0.38672,0.2643,0.90008,0.99314,0.99902,0.99409,0.97009,0.26222,0.17808,0.77497,0.000175178,0.000175178,0.000175178
80,48355.6,0.37888,0.25072,0.89146,0.99314,0.99917,0.99287,0.96821,0.26725,0.17645,0.77706,0.000167565,0.000167565,0.000167565
81,48958.1,0.37566,0.25262,0.88405,0.99441,1,0.99403,0.97067,0.26128,0.17485,0.77576,0.000159952,0.000159952,0.000159952
82,49560.3,0.36872,0.25152,0.88691,0.99256,0.99942,0.99415,0.96911,0.25932,0.17537,0.77421,0.000152339,0.000152339,0.000152339
83,50162.5,0.3728,0.24913,0.8939,0.99397,0.9974,0.99465,0.97367,0.25366,0.17083,0.77325,0.000144726,0.000144726,0.000144726
84,50763.9,0.36366,0.24556,0.8882,0.99421,0.99638,0.99484,0.97346,0.25022,0.16879,0.77264,0.000137113,0.000137113,0.000137113
85,51367,0.36733,0.24812,0.88554,0.9943,0.99735,0.99483,0.97369,0.25269,0.16822,0.77213,0.0001295,0.0001295,0.0001295
86,51969.5,0.35912,0.24608,0.89055,0.99414,0.99712,0.99486,0.97486,0.25112,0.16667,0.77236,0.000121887,0.000121887,0.000121887
87,52573.8,0.36081,0.24505,0.88615,0.99354,0.99797,0.99485,0.97697,0.25185,0.16751,0.77285,0.000114273,0.000114273,0.000114273
88,53177.1,0.34635,0.23542,0.8791,0.99455,0.99729,0.99486,0.97579,0.24914,0.16467,0.77182,0.00010666,0.00010666,0.00010666
89,53780,0.35195,0.23664,0.88022,0.9945,0.99746,0.99487,0.97478,0.24226,0.16182,0.77017,9.90472e-05,9.90472e-05,9.90472e-05
90,54382,0.35166,0.23336,0.88457,0.99425,0.99705,0.99481,0.97662,0.24213,0.1601,0.76916,9.14341e-05,9.14341e-05,9.14341e-05
91,54984.8,0.27839,0.19429,0.82418,0.99491,0.99758,0.99462,0.97205,0.25127,0.16721,0.77159,8.3821e-05,8.3821e-05,8.3821e-05
92,55585.7,0.27048,0.18775,0.81874,0.99429,0.99715,0.99451,0.97479,0.24421,0.16446,0.77094,7.62079e-05,7.62079e-05,7.62079e-05
93,56188.3,0.27244,0.18524,0.8204,0.99412,0.99663,0.99442,0.97612,0.24218,0.16219,0.77027,6.85948e-05,6.85948e-05,6.85948e-05
94,56790.4,0.26656,0.1809,0.81593,0.99356,0.99962,0.99456,0.97433,0.24824,0.16263,0.77165,6.09817e-05,6.09817e-05,6.09817e-05
95,57393.5,0.26014,0.17615,0.80608,0.99417,0.99988,0.99459,0.97477,0.24376,0.15912,0.77019,5.33686e-05,5.33686e-05,5.33686e-05
96,57995.9,0.26225,0.17657,0.8082,0.99377,0.99918,0.9946,0.97774,0.23739,0.15708,0.76804,4.57555e-05,4.57555e-05,4.57555e-05
97,58597.9,0.25484,0.17293,0.81077,0.99346,0.99914,0.99466,0.97772,0.23802,0.15631,0.76838,3.81424e-05,3.81424e-05,3.81424e-05
98,59199.2,0.25389,0.17046,0.81532,0.99322,0.99958,0.99467,0.97666,0.23464,0.15455,0.76736,3.05293e-05,3.05293e-05,3.05293e-05
99,59800.3,0.25357,0.17206,0.8136,0.99373,0.99911,0.99471,0.97731,0.2351,0.15389,0.76702,2.29162e-05,2.29162e-05,2.29162e-05
100,60402.4,0.25278,0.16835,0.806,0.99374,0.99832,0.99471,0.97874,0.23356,0.15316,0.7666,1.53031e-05,1.53031e-05,1.53031e-05
